origen_id,destino_id,distancia_km,tiempo_min
0,0,0.0,0.0
0,1,15.28638,19.922833333333333
0,2,18.95092,23.56433333333333
0,3,105.02782,69.24516666666666
0,4,134.01444,130.977
0,5,34.51613,37.683
0,6,19.00046,22.661
0,7,36.089940000000006,42.462833333333336
0,8,63.45639,55.72533333333333
0,9,29.94074,35.82783333333334
0,10,107.68313,92.16866666666667
0,11,83.45139,73.5085
0,12,18.46032,29.884333333333334
0,13,52.62116,40.3855
0,14,44.12561,45.37966666666667
0,15,54.67465,59.27383333333333
0,16,138.91685999999999,99.01566666666666
0,17,35.8468,38.21516666666666
0,18,33.06282,37.173
0,19,22.182299999999998,31.385833333333334
0,20,48.23804,46.345
0,21,47.24171,49.888333333333335
0,22,41.760940000000005,30.667333333333332
0,23,22.57478,29.255499999999998
0,24,79.49885,55.4375
0,25,56.38368,54.32266666666667
0,26,93.79736,67.60183333333333
0,27,45.80043,33.342
0,28,48.53944,43.28883333333333
0,29,131.03949,91.2415
0,30,59.14678,65.08016666666667
0,31,22.63286,32.973333333333336
0,32,19.037689999999998,25.195
0,33,51.18764,45.559999999999995
0,34,88.53898,80.59316666666668
0,35,102.83149,104.61833333333334
0,36,98.4842,89.69466666666668
0,37,12.385219999999999,21.9915
0,38,78.3852,72.29583333333333
0,39,51.34174,43.01133333333333
0,40,115.79577,84.11149999999999
0,41,56.51407,38.86866666666666
0,42,7.529109999999999,14.150666666666666
0,43,98.77016,63.65116666666667
0,44,30.42199,34.88166666666667
0,45,117.01236,78.27083333333333
0,46,76.48842,53.70283333333334
0,47,54.53879,47.8625
0,48,20.97887,27.597666666666665
0,49,42.59645,43.324333333333335
0,50,113.69933999999999,76.57383333333334
0,51,24.30182,32.75216666666667
0,52,135.03863,131.26766666666668
0,53,37.35774,38.25833333333333
0,54,125.43609,82.83716666666666
0,55,43.50206,40.461666666666666
0,56,36.68598,50.00633333333334
0,57,94.11495,68.15833333333333
0,58,57.19752,41.50383333333333
0,59,124.12577,80.89733333333334
0,60,70.05134,59.2355
0,61,82.48874,53.59666666666667
0,62,82.62128,80.35483333333333
0,63,31.21959,31.750333333333334
0,64,21.69801,27.839499999999997
0,65,68.83337,54.77966666666667
0,66,119.73257000000001,83.5685
0,67,115.72377,79.33966666666667
0,68,39.55836,33.912166666666664
0,69,63.58546,54.40466666666667
0,70,71.4133,53.624
0,71,117.25079,116.54633333333332
0,72,37.67855,44.709833333333336
0,73,94.34816000000001,63.5185
0,74,19.25093,16.6705
0,75,36.37851,33.3155
0,76,17.4178,27.351333333333333
0,77,59.37169,44.9435
0,78,116.40085,80.20716666666667
0,79,88.14408999999999,88.04033333333334
0,80,87.10409,76.80866666666667
0,81,54.835260000000005,50.89183333333334
0,82,101.0356,85.35616666666667
0,83,75.76298,52.57983333333333
0,84,93.98899,87.71116666666667
0,85,14.50191,26.766166666666667
0,86,91.36674000000001,72.46366666666667
0,87,30.728189999999998,34.440000000000005
0,88,136.68376999999998,87.06833333333334
0,89,61.97661,51.973499999999994
0,90,116.00616000000001,77.96700000000001
0,91,29.908369999999998,41.0115
0,92,18.77687,24.227666666666668
0,93,113.57547,104.86149999999999
0,94,38.3191,38.992333333333335
0,95,24.87842,30.27316666666667
0,96,114.30866999999999,82.562
0,97,56.21296,50.280499999999996
0,98,19.075470000000003,25.995333333333335
0,99,32.30137,34.551500000000004
0,100,27.04318,25.10983333333333
0,101,27.37278,35.227
0,102,62.25204,58.03
0,103,92.62967,75.96116666666667
0,104,33.871230000000004,40.165333333333336
0,105,65.46288,65.9365
0,106,52.62631,50.479
0,107,36.15601,36.883833333333335
0,108,17.77368,26.396
0,109,20.28717,27.326999999999998
0,110,16.58916,20.831166666666665
0,111,16.48661,19.7655
0,112,13.25742,15.801333333333334
0,113,17.30195,22.958666666666666
0,114,20.60762,24.6835
0,115,23.51454,29.088166666666666
0,116,18.63414,24.487166666666667
0,117,7.41571,14.401166666666667
0,118,222.17516,149.75933333333333
0,119,97.28502999999999,61.436166666666665
0,120,258.13192000000004,169.17916666666667
0,121,148.15352,93.55866666666667
0,122,105.56204,75.28633333333333
1,0,14.72106,17.63
1,1,0.0,0.0
1,2,22.060950000000002,30.786
1,3,102.92144,74.1785
1,4,113.42737,127.82383333333334
1,5,22.85002,26.215666666666667
1,6,22.110490000000002,29.882833333333334
1,7,24.04064,31.43933333333333
1,8,56.86734,59.158
1,9,18.27462,24.360500000000002
1,10,105.57674,97.10216666666666
1,11,71.78527,62.04116666666666
1,12,17.25896,27.059666666666665
1,13,50.51478,45.318999999999996
1,14,32.45949,33.912333333333336
1,15,43.00854,47.8065
1,16,136.81047,103.949
1,17,24.18069,26.747833333333332
1,18,21.39671,25.705666666666666
1,19,10.51618,19.918499999999998
1,20,30.77901,37.61
1,21,35.57559,38.42100000000001
1,22,53.135169999999995,41.32216666666667
1,23,10.90866,17.788166666666665
1,24,72.9098,58.87033333333333
1,25,41.17463,49.438833333333335
1,26,87.20831,71.03466666666667
1,27,39.21139,36.774833333333326
1,28,36.87332,31.8215
1,29,128.9331,96.175
1,30,47.48066,53.612833333333334
1,31,10.96674,21.505999999999997
1,32,7.371569999999999,13.727666666666666
1,33,39.521519999999995,34.092666666666666
1,34,76.87286999999999,69.12583333333333
1,35,87.62244,99.7345
1,36,91.89515,93.1275
1,37,15.6511,25.2405
1,38,81.49522999999999,79.5175
1,39,54.451769999999996,50.233
1,40,113.68939,89.045
1,41,67.8883,49.5235
1,42,14.51399,23.351
1,43,92.18111999999999,67.084
1,44,18.75588,23.41433333333333
